STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE.1,SOURCE.1,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,WindEquipmentChangeDate
72785794129,2022-01-01 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,6s,,,27.55,,10.7,0s,-24.1s,59s,18s,-6,130,26,0.00,,,90.0,21,FZFG BR FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD71024 HR PRECIPITATION (IN): 0.00 WEATHER(CODE):12  24 HR MAX TEMP (F): 1824 HR MIN TEMP (F): -6AVERAGE STATION PRESSURE:27.545 MINIMUM SEA LEVEL PRESSURE:30.29 TIME OF OCCURRENCE:2357 PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):130 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG): 90 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.7 24 HR AVG TEMP (F):  6DEPART FROM NORMAL:-25  HEATING DEGREE DAYS: 59 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):14  LATEST NIGHT MIN TEMP(1900-0800 LST):-6 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1611.0,2005-11-07
72785794129,2022-01-02 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,22,,,27.34,,17.6,0,-8.2,43,26,17,120,34,0.00,,,120.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD70924 HR PRECIPITATION (IN): 0.00 WEATHER(CODE):8  24 HR MAX TEMP (F): 2624 HR MIN TEMP (F): 17AVERAGE STATION PRESSURE:27.340 MINIMUM SEA LEVEL PRESSURE:29.88 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 34 PEAK WIND DIR (DEG):120 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 29FASTEST 2MIN DIR (DEG):120 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):17.6 24 HR AVG TEMP (F): 22DEPART FROM NORMAL: -9  HEATING DEGREE DAYS: 43 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):26  LATEST NIGHT MIN TEMP(1900-0800 LST):14 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1612.0,2005-11-07
72785794129,2022-01-03 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,31,,,26.99,,13.8,0,0.7,34,37,25,170,35,0.06,,,170.0,29,SN FG FZFG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73424 HR PRECIPITATION (IN): 0.06 WEATHER(CODE):18  24 HR MAX TEMP (F): 3724 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:26.990 MINIMUM SEA LEVEL PRESSURE:29.60 TIME OF OCCURRENCE:1321 PEAK WIND SPEED (MPH): 35 PEAK WIND DIR (DEG):170 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 29FASTEST 2MIN DIR (DEG):170 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):13.8 24 HR AVG TEMP (F): 31DEPART FROM NORMAL:  0  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 34 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):37  LATEST NIGHT MIN TEMP(1900-0800 LST):21 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.03 0.01 0.01 T    0.00 T    T    T    T,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1613.0,2005-11-07
72785794129,2022-01-04 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,24s,,,27.29,,7.3,0s,-6.4s,41s,31,16s,260,22,0.05,,,250.0,16,SN BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD71024 HR PRECIPITATION (IN): 0.05 WEATHER(CODE):18  24 HR MAX TEMP (F): 3124 HR MIN TEMP (F): 16AVERAGE STATION PRESSURE:27.295 MINIMUM SEA LEVEL PRESSURE:29.79 TIME OF OCCURRENCE:0007 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 16FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.3 24 HR AVG TEMP (F): 24DEPART FROM NORMAL: -8  HEATING DEGREE DAYS: 41 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):31  LATEST NIGHT MIN TEMP(1900-0800 LST):20 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.01 T    0.00 0.00 0.00 0.00 0.00 T    0.00 T    0.02 0.01,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1614.0,2005-11-07
72785794129,2022-01-05 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,28,,,27.37,,8.3,0,-2.5,37,31,24,250,26,0.17,,,250.0,21,FZRA SN FZFG BR FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73824 HR PRECIPITATION (IN): 0.17 WEATHER(CODE):126  24 HR MAX TEMP (F): 3124 HR MIN TEMP (F): 24AVERAGE STATION PRESSURE:27.375 MINIMUM SEA LEVEL PRESSURE:29.92 TIME OF OCCURRENCE:0122 PEAK WIND SPEED (MPH): 26 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 21FASTEST 2MIN DIR (DEG):250 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 8.3 24 HR AVG TEMP (F): 28DEPART FROM NORMAL: -4  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 37 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):27  LATEST NIGHT MIN TEMP(1900-0800 LST):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.02 0.02 0.04 0.02 0.01 T    T    T    T    0.00 T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.01 0.02 0.01 0.02,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1615.0,2005-11-07
72785794129,2022-01-06 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,32,,,27.09,,9.2,0,1.4,33,39,25,100,23,0.83,,,90.0,18,RA FZRA SN FZFG BR UP FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73824 HR PRECIPITATION (IN): 0.83 WEATHER(CODE):126  24 HR MAX TEMP (F): 3924 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:27.095 MINIMUM SEA LEVEL PRESSURE:29.58 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 23 PEAK WIND DIR (DEG):100 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 18FASTEST 2MIN DIR (DEG): 90 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.2 24 HR AVG TEMP (F): 32DEPART FROM NORMAL:  0  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 33 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):38  LATEST NIGHT MIN TEMP(1900-0800 LST):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.03 0.02 0.02 0.01 0.03 0.07 0.08 0.09 0.06 0.02 0.05 0.04 0.09 0.09 0.09 0.01 0.01 0.00 0.01 T    T    0.01 T    0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1616.0,2005-11-07
72785794129,2022-01-07 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,35,,,26.86,,21.3,0,4.3,30,40,30,240,58,0.45,,,240.0,46,RA SN BR UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD70924 HR PRECIPITATION (IN): 0.45 WEATHER(CODE):1  24 HR MAX TEMP (F): 4024 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE:26.860 MINIMUM SEA LEVEL PRESSURE:29.38 TIME OF OCCURRENCE:1241 PEAK WIND SPEED (MPH): 58 PEAK WIND DIR (DEG):240 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 46FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):21.3 24 HR AVG TEMP (F): 35DEPART FROM NORMAL:  3  HEATING DEGREE DAYS: 30 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):40  LATEST NIGHT MIN TEMP(1900-0800 LST):34 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):    0.02 0.07 0.04 0.04 0.07 0.02 0.00 0.00 0.00 0.09 0.06 T    0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,733.0,1617.0,2005-11-07
72785794129,2022-01-08 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,28,,,27.49,,9.0,0,-2.8,37,34,21,240,32,0.00,,,240.0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD69224 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3424 HR MIN TEMP (F): 21AVERAGE STATION PRESSURE:27.490 MINIMUM SEA LEVEL PRESSURE:29.86 TIME OF OCCURRENCE:0011 PEAK WIND SPEED (MPH): 32 PEAK WIND DIR (DEG):240 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 24FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.0 24 HR AVG TEMP (F): 28DEPART FROM NORMAL: -4  HEATING DEGREE DAYS: 37 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):34  LATEST NIGHT MIN TEMP(1900-0800 LST):21 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,732.0,1619.0,2005-11-07
72785794129,2022-01-09 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,28,,,27.77,,14.7,0,-2.9,37,33,23,100,28,0.00,,,100.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD69224 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3324 HR MIN TEMP (F): 23AVERAGE STATION PRESSURE:27.770 MINIMUM SEA LEVEL PRESSURE:30.44 TIME OF OCCURRENCE:0047 PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG):100 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 22FASTEST 2MIN DIR (DEG):100 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):14.7 24 HR AVG TEMP (F): 28DEPART FROM NORMAL: -4  HEATING DEGREE DAYS: 37 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):33  LATEST NIGHT MIN TEMP(1900-0800 LST):22 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,732.0,1620.0,2005-11-07
72785794129,2022-01-10 23:59:00,SOD  ,6,,,,,,,,,,,,,,,,,,29,,,27.76,,10.0,0,-2.0,36,33,25,090,22,0.00,,,100.0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD69224 HR PRECIPITATION (IN): 0.00 24 HR MAX TEMP (F): 3324 HR MIN TEMP (F): 25AVERAGE STATION PRESSURE:27.755 MINIMUM SEA LEVEL PRESSURE:30.49 TIME OF OCCURRENCE:2347 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG): 90 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):100 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.0 24 HR AVG TEMP (F): 29DEPART FROM NORMAL: -3  HEATING DEGREE DAYS: 36 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):32  LATEST NIGHT MIN TEMP(1900-0800 LST):25 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,6,,,,,,,,,,,,,,,,,,,,,,,,,732.0,1621.0,2005-11-07
