DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72788324220,30.05371428571428,11.0,16.0,0,HZ:7 |FU |HZ,-0.0175,4.0,80.98095238095237,30.14125,VV:09 2,28.186095238095238,0.25s,16.314285714285713,0,20.0,0.0
2023-01-02,72788324220,29.92803571428572,25.0,29.0,0,BR:1 ||,0.02375,5.75,84.26785714285714,29.979166666666668,OVC:08 7,28.06607142857143,3,24.928571428571427,0,20.0,0.0
2023-01-03,72788324220,29.91163636363636,26.0,29.0,0,BR:1 ||,-0.02,3.5,84.63636363636364,29.963333333333328,OVC:08 14,28.05109090909092,3,28.49090909090909,0,20.0,0.0
2023-01-04,72788324220,29.946590909090904,27.0,30.0,0,-SN:03 BR:1 |SN |,0.02,6.25,83.63636363636364,29.996666666666663,BKN:07 29 OVC:08 36,28.083409090909097,10,30.181818181818183,0,20.0,0.0
2023-01-05,72788324220,29.74083333333333,30.0,34.0,0,-SN:03 BR:1 |SN |,-0.0037499999999999,4.375,82.61111111111111,29.771666666666672,CLR:00,27.888611111111107,10,31.5,330,20.0,5.0
2023-01-06,72788324220,30.032714285714285,23.0,24.0,0,BR:1 ||,-0.03125,2.875,84.71428571428571,30.11208333333333,VV:09 1,28.16557142857143,0.25,23.742857142857144,0,20.0,3.0
2023-01-07,72788324220,29.925098039215687,32.0,34.0,0.01,-RA:02 BR:1 |RA |RA,0.03125,7.0,87.56862745098039,29.97208333333333,OVC:08 31,28.063921568627457,10,32.88235294117647,0,20.0,0.0
2023-01-08,72788324220,29.74742424242424,32.0,34.0,0,BR:1 ||,0.0012499999999999,4.75,87.8030303030303,29.76625,OVC:08 14,27.894848484848485,10,33.56060606060606,0,20.0,0.0
2023-01-09,72788324220,29.66322033898305,32.0,35.0,0,BR:1 ||,0.015,4.0,88.57627118644068,29.717916666666667,VV:09 2,27.815254237288137,0.25,33.28813559322034,0,20.0,0.0
2023-01-10,72788324220,29.74578947368421,30.0,32.0,0,BR:1 ||,2.1684043449710093e-19,5.0,87.0,29.77875,VV:09 1,27.89561403508772,10,31.894736842105264,0,20.0,0.0
2023-01-11,72788324220,29.979523809523805,31.0,36.0,0,BR:1 ||,-0.03,2.5,83.83333333333333,30.01458333333333,OVC:08 22,28.11476190476191,10,33.80952380952381,0,20.0,0.0
2023-01-12,72788324220,30.034130434782607,33.0,36.0,T,-RA:02 |RA |RA,0.005,4.875,87.02173913043478,30.079166666666666,OVC:08 17,28.166304347826088,10,34.76086956521739,0,20.0,6.0
2023-01-13,72788324220,29.843461538461547,32.0,35.0,0,FG:2 |FG |,0.03125,6.75,90.3846153846154,29.8475,VV:09 2,27.98711538461538,0.25,34.55769230769231,0,20.0,0.0
2023-01-14,72788324220,29.52175675675676,33.0,36.0,T,BR:1 ||,0.0242857142857142,7.428571428571429,89.52702702702703,29.56958333333333,OVC:08 3,27.679729729729733,0.25,34.445945945945944,0,20.0,0.0
2023-01-15,72788324220,29.41641791044776,33.0,36.0,0,BR:1 ||,-0.015,4.625,88.08955223880596,29.455,OVC:08 17,27.582537313432837,10,35.67164179104478,0,20.0,0.0
2023-01-16,72788324220,29.67157894736842,32.0,35.0,0,FG:2 |FG |,-0.02875,2.375,88.87719298245614,29.73333333333333,OVC:08 2,27.823157894736845,0.25,33.50877192982456,0,20.0,0.0
2023-01-17,72788324220,29.91705882352941,27.0,30.0,0,FZ:8 FG:2 |FG |,-0.015,3.375,84.52941176470588,29.95625,VV:09 2,28.057058823529413,10,30.529411764705884,0,20.0,0.0
2023-01-18,72788324220,29.884761904761906,30.0,33.0,T,-SN:03 BR:1 |SN |,-0.005,5.125,83.78571428571429,29.918333333333333,OVC:08 15,28.0247619047619,10,33.166666666666664,0,20.0,0.0
2023-01-19,72788324220,30.230416666666667,24.0,36.0,0,-SN:03 BR:1 |SN |,-0.05,1.5,67.58333333333333,30.26833333333333,CLR:00,28.35458333333333,10,32.333333333333336,320,28.25,0.0
2023-01-20,72788324220,30.42375,21.0,27.0,0,-SN:03 BR:1 |SN |,-0.0087499999999999,2.875,72.41666666666667,30.477500000000003,CLR:00,28.513333333333332,10,23.77777777777778,0,25.666666666666668,0.0
2023-01-21,72788324220,30.225777777777772,26.0,30.0,T,-SN:03 BR:1 |SN |,0.0275,6.25,84.73333333333333,30.311304347826084,OVC:08 18,28.24117647058824,10,28.41176470588235,0,25.666666666666668,0.0
2023-01-22,72788324220,30.302916666666665,27.0,35.0,0,-RA:02 BR:1 |RA |RA,-0.0314285714285714,2.7142857142857144,66.58333333333333,30.34958333333333,CLR:00,28.42333333333333,10,31.33333333333333,320,25.666666666666668,11.0
2023-01-23,72788324220,30.351600000000005,28.0,28.0,0,-RA:02 BR:1 |RA |RA,0.0042857142857142,5.428571428571429,67.56,30.3975,CLR:00,28.470400000000005,10,32.92,0,28.142857142857142,0.0
2023-01-24,72788324220,30.407083333333333,33.0,43.0,0,-RA:02 BR:1 |RA |RA,-0.01375,3.0,64.45833333333333,30.437916666666663,CLR:00,28.522916666666664,10,37.75,320,33.5,18.0
2023-01-25,72788324220,30.53333333333333,32.0,43.0,0,-RA:02 BR:1 |RA |RA,-0.00875,2.5,66.08333333333333,30.56083333333333,CLR:00,28.64333333333333,10,37.75,320,30.33333333333333,17.0
2023-01-26,72788324220,30.3608,27.0,32.0,0,-RA:02 BR:1 |RA |RA,0.045,7.125,65.48,30.39875,CLR:00,28.478,10,37.92,300,39.54545454545455,6.0
2023-01-27,72788324220,30.051666666666662,33.0,45.0,0,-RA:02 BR:1 |RA |RA,0.015,5.125,61.125,30.06916666666667,CLR:00,28.18208333333333,10,39.0,310,36.1764705882353,17.0
2023-01-28,72788324220,30.105833333333333,30.0,39.0,0,-RA:02 BR:1 |RA |RA,-0.03,3.625,57.708333333333336,30.140833333333333,CLR:00,28.23625,10,30.08333333333333,110,25.142857142857142,14.0
