STATION,DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed
72782594239,2023-01-01,30.114629629629643,25.833333333333332,28.01851851851852,0.0,BR:1 ||,-0.020000000000000004,3.875,91.33333333333333,30.1525,OVC:08 2,28.800370370370363,27.14814814814815,0,,3.074074074074074
72782594239,2023-01-02,29.978604651162783,24.674418604651162,26.53488372093023,0.0010714285714285715,BR:1 ||,0.028750000000000005,7.0,92.6046511627907,30.00333333333333,BKN:07 5 OVC:08 8,28.66883720930232,25.651162790697676,280,,5.093023255813954
72782594239,2023-01-03,29.93777777777778,26.27777777777778,29.13888888888889,0.0,BR:1 ||,-0.02,3.75,88.91666666666667,29.983333333333334,FEW:02 9 BKN:07 24,28.62916666666667,28.22222222222222,0,,4.0
72782594239,2023-01-04,30.023720930232557,27.627906976744185,29.697674418604652,0.0033870967741935483,-SN:03 BR:1 |SN |,0.0175,4.0,91.95348837209302,30.064166666666665,BKN:07 2 OVC:08 20,28.713255813953484,28.930232558139537,0,,2.86046511627907
72782594239,2023-01-05,29.79148514851485,29.326732673267326,30.168316831683168,0.009553571428571429,BR:1 ||,0.001250000000000002,4.75,96.70297029702971,29.83,CLR:00,28.490099009900998,30.00990099009901,0,,5.138613861386139
72782594239,2023-01-06,30.082702702702694,26.85135135135135,27.66216216216216,0.0007692307692307692,FZ:8 FG:2 |FG |,-0.03,2.375,96.82432432432432,30.127916666666668,VV:09 2,28.77013513513513,27.5,0,,1.2162162162162162
72782594239,2023-01-07,29.95655555555556,31.511111111111113,31.988888888888887,0.01138888888888889,-SN:03 BR:1 |SN |,0.03375,7.5,98.12222222222222,30.012083333333337,OVC:08 3,28.648333333333337,31.955555555555556,0,,1.3222222222222222
72782594239,2023-01-08,29.77472527472528,31.923076923076923,32.1978021978022,0.011931818181818184,BR:1 ||,0.00375,5.375,98.92307692307692,29.792916666666667,VV:09 2,28.472967032967038,32.18681318681319,0,,2.1648351648351647
72782594239,2023-01-09,29.74103896103897,30.727272727272727,31.31168831168831,0.003181818181818182,BR:1 ||,0.016250000000000004,4.375,97.7012987012987,29.759166666666662,VV:09 1,28.43987012987013,31.194805194805195,0,,3.0
72782594239,2023-01-10,29.783199999999997,32.0,32.78,0.0,BR:1 ||,-0.00375,3.625,97.06,29.812916666666666,OVC:08 14,28.483199999999997,32.52,0,,3.4
72782594239,2023-01-11,30.00444444444445,31.925925925925927,33.925925925925924,0.0028846153846153843,-RA:02 |RA |RA,-0.035,1.75,92.33333333333333,30.043750000000003,BKN:07 30 OVC:08 45,28.694814814814816,33.111111111111114,0,,1.8148148148148149
72782594239,2023-01-12,30.09190000000001,32.16,32.59,0.012582417582417585,-RA:02 BR:1 |RA |RA,-0.0025000000000000005,4.625,98.31,30.125416666666666,OVC:08 15,28.779099999999993,32.54,0,,1.71
